operator,id_ticket,date,activity
Vian,6337/BPJS/Jul/2019,"2019-07-15 18:39:00.0",CLOSE
Alam,6350/BJBR/Jul/2019,"2019-07-15 17:12:15.0",CLOSE
Sayyid,6052/BRKR/Jul/2019,"2019-07-15 17:10:30.0",CLOSE
Fajar,6095/BJBR/Jul/2019,"2019-07-15 16:31:00.0",CLOSE
Alam,6186/BJBR/Jul/2019,"2019-07-15 15:29:00.0",CLOSE
Fajar,6096/BJBR/Jul/2019,"2019-07-15 15:27:00.0",CLOSE
Yefta,6099/BSBB/Jul/2019,"2019-07-15 15:13:00.0",CLOSE
Alam,6184/BJBR/Jul/2019,"2019-07-15 14:05:00.0",CLOSE
Alam,6260/BJBR/Jul/2019,"2019-07-15 11:50:00.0",CLOSE
Fajar,6088/BJBR/Jul/2019,"2019-07-14 20:18:00.0",CLOSE
Alam,6092/BJBR/Jul/2019,"2019-07-14 20:12:45.0",CLOSE
Paul,6094/BJBR/Jul/2019,"2019-07-14 15:46:00.0",CLOSE
Paul,6091/BJBR/Jul/2019,"2019-07-14 13:59:45.0",CLOSE
